,№,"Страна, город",Заражений,Смертей,Выздоровлений,% Смертей
147,148,ДНР,313 + 0,14 +0,108 +0,4.47%
148,149,Мавритания,292 + 0,16 +0,15 +0,5.47%
149,150,Уганда,281 + 0,0 +0,69 +0,0.00%
150,151,Эсватини,272 + 0,2 +0,168 +0,0.73%
151,152,Либерия,269 + 3,27 +0,144 +0,10.03%
152,153,Мозамбик,227 + 0,1 +0,71 +0,0.44%
153,154,Мьянма,206 + 0,6 +0,126 +0,2.91%
154,155,Мартиника,197 + 0,14 +0,91 +0,7.10%
155,156,Фарерские острова,187 + 0,0 +0,187 +0,0.00%
156,157,Монголия,161 + 13,0 +0,43 +0,0.00%
157,158,Гваделупа,161 + 0,14 +0,115 +0,8.69%
158,159,Гибралтар,158 + 1,0 +0,147 +0,0.00%
159,160,Бруней,141 + 0,2 +0,138 +0,1.41%
160,161,Каймановы острова,140 + 0,1 +0,67 +0,0.71%
161,162,Гайана,139 + 0,11 +0,67 +0,7.91%
162,163,Бермудские Острова,139 + 0,9 +0,91 +0,6.47%
163,164,Зимбабве,132 + 0,4 +0,25 +0,3.03%
164,165,Камбоджа,124 + 0,0 +0,122 +0,0.00%
165,166,Сирия,121 + 0,5 +0,43 +0,4.13%
166,167,Тринидад и Тобаго,116 + 0,8 +0,108 +0,6.89%
167,168,Аруба,101 + 0,3 +0,97 +0,2.97%
168,169,Малави,101 + 0,4 +0,37 +0,3.96%
169,170,Багамские Острова,100 + 0,11 +0,46 +0,11.00%
170,171,Ливия,99 + 0,4 +0,40 +0,4.04%
171,172,Монако,98 + 0,4 +0,90 +0,4.08%
172,173,Барбадос,92 + 0,7 +0,76 +0,7.60%
173,174,Лихтенштейн,82 + 0,1 +0,55 +0,1.21%
174,175,Синт-Мартен,77 + 0,15 +0,60 +0,19.48%
175,176,Ангола,71 + 0,4 +0,18 +0,5.63%
176,177,Французская Полинезия,60 + 0,0 +0,60 +0,0.00%
177,178,Макао,45 + 0,0 +0,45 +0,0.00%
178,179,Бурунди,42 + 0,1 +0,20 +0,2.38%
179,180,Эритрея,39 + 0,0 +0,39 +0,0.00%
180,181,Ботсвана,35 + 0,1 +0,20 +0,2.85%
181,182,Бутан,31 + 3,0 +0,6 +0,0.00%
182,183,Республика Абхазия,28 + 0,1 +0,15 +0,3.57%
183,184,Гамбия,25 + 0,1 +0,19 +0,4.00%
184,185,Антигуа и Барбуда,25 + 0,3 +0,19 +0,12.00%
185,186,Сент-Винсент и Гренадины,25 + 7,0 +0,14 +0,0.00%
186,187,Восточный Тимор,24 + 0,0 +0,24 +0,0.00%
187,188,Гренада,23 + 0,0 +0,18 +0,0.00%
188,189,Намибия,22 + 0,0 +0,14 +0,0.00%
189,190,Лаос,19 + 0,0 +0,16 +0,0.00%
190,191,Фиджи,18 + 0,0 +0,15 +0,0.00%
191,192,Сент-Люсия,18 + 0,0 +0,18 +0,0.00%
192,193,Кюрасао,18 + 0,1 +0,14 +0,5.55%
193,194,Новая Каледония,18 + 0,0 +0,18 +0,0.00%
194,195,Белиз,18 + 0,2 +0,16 +0,11.11%
195,196,Доминика,16 + 0,0 +0,16 +0,0.00%
196,197,Сент-Китс и Невис,15 + 0,0 +0,15 +0,0.00%
197,198,Гренландия,13 + 0,0 +0,11 +0,0.00%
198,199,Ватикан,12 + 0,0 +0,2 +0,0.00%
199,200,Суринам,12 + 1,1 +0,9 +0,8.33%
200,201,Монтсеррат,11 + 0,1 +0,10 +0,9.09%
201,202,Сейшельские Острова,11 + 0,0 +0,11 +0,0.00%
202,203,Западная Сахара,9 + 0,1 +0,6 +0,11.11%
203,204,Центральноафриканская Республика,8 + 0,0 +0,0 +0,0.00%
204,205,Папуа - Новая Гвинея,8 + 0,0 +0,8 +0,0.00%
